id,花萼長度,花萼寬度,花瓣長度,花瓣寬度,屬種,type
1,5.4,3.7,1.5,0.2,Iris-setosa,1
2,4.8,3.4,1.6,0.2,Iris-setosa,1
3,4.8,3,1.4,0.1,Iris-setosa,1
4,4.3,3,1.1,0.1,Iris-setosa,1
5,5.8,4,1.2,0.2,Iris-setosa,1
6,5.7,4.4,1.5,0.4,Iris-setosa,1
7,5.4,3.9,1.3,0.4,Iris-setosa,1
8,5.1,3.5,1.4,0.3,Iris-setosa,1
9,5.7,3.8,1.7,0.3,Iris-setosa,1
10,5.1,3.8,1.5,0.3,Iris-setosa,1
11,5.4,3.4,1.7,0.2,Iris-setosa,1
12,5.1,3.7,1.5,0.4,Iris-setosa,1
13,4.6,3.6,1,0.2,Iris-setosa,1
14,5.1,3.3,1.7,0.5,Iris-setosa,1
15,4.8,3.4,1.9,0.2,Iris-setosa,1
16,5,3,1.6,0.2,Iris-setosa,1
17,5,3.4,1.6,0.4,Iris-setosa,1
18,5.2,3.5,1.5,0.2,Iris-setosa,1
19,5.2,3.4,1.4,0.2,Iris-setosa,1
20,4.7,3.2,1.6,0.2,Iris-setosa,1
21,4.8,3.1,1.6,0.2,Iris-setosa,1
22,5.4,3.4,1.5,0.4,Iris-setosa,1
23,5.2,4.1,1.5,0.1,Iris-setosa,1
24,5.5,4.2,1.4,0.2,Iris-setosa,1
25,4.9,3.1,1.5,0.1,Iris-setosa,1
26,5,3.2,1.2,0.2,Iris-setosa,1
27,5.5,3.5,1.3,0.2,Iris-setosa,1
28,4.9,3.1,1.5,0.1,Iris-setosa,1
29,4.4,3,1.3,0.2,Iris-setosa,1
30,5.1,3.4,1.5,0.2,Iris-setosa,1
31,5,3.5,1.3,0.3,Iris-setosa,1
32,4.5,2.3,1.3,0.3,Iris-setosa,1
33,4.4,3.2,1.3,0.2,Iris-setosa,1
34,5,3.5,1.6,0.6,Iris-setosa,1
35,5.1,3.8,1.9,0.4,Iris-setosa,1
36,4.8,3,1.4,0.3,Iris-setosa,1
37,5.1,3.8,1.6,0.2,Iris-setosa,1
38,4.6,3.2,1.4,0.2,Iris-setosa,1
39,5.3,3.7,1.5,0.2,Iris-setosa,1
40,5,3.3,1.4,0.2,Iris-setosa,1
41,5,2,3.5,1,Iris-versicolor,2
42,5.9,3,4.2,1.5,Iris-versicolor,2
43,6,2.2,4,1,Iris-versicolor,2
44,6.1,2.9,4.7,1.4,Iris-versicolor,2
45,5.6,2.9,3.6,1.3,Iris-versicolor,2
46,6.7,3.1,4.4,1.4,Iris-versicolor,2
47,5.6,3,4.5,1.5,Iris-versicolor,2
48,5.8,2.7,4.1,1,Iris-versicolor,2
49,6.2,2.2,4.5,1.5,Iris-versicolor,2
50,5.6,2.5,3.9,1.1,Iris-versicolor,2
51,5.9,3.2,4.8,1.8,Iris-versicolor,2
52,6.1,2.8,4,1.3,Iris-versicolor,2
53,6.3,2.5,4.9,1.5,Iris-versicolor,2
54,6.1,2.8,4.7,1.2,Iris-versicolor,2
55,6.4,2.9,4.3,1.3,Iris-versicolor,2
56,6.6,3,4.4,1.4,Iris-versicolor,2
57,6.8,2.8,4.8,1.4,Iris-versicolor,2
58,6.7,3,5,1.7,Iris-versicolor,2
59,6,2.9,4.5,1.5,Iris-versicolor,2
60,5.7,2.6,3.5,1,Iris-versicolor,2
61,5.5,2.4,3.8,1.1,Iris-versicolor,2
62,5.5,2.4,3.7,1,Iris-versicolor,2
63,5.8,2.7,3.9,1.2,Iris-versicolor,2
64,6,2.7,5.1,1.6,Iris-versicolor,2
65,5.4,3,4.5,1.5,Iris-versicolor,2
66,6,3.4,4.5,1.6,Iris-versicolor,2
67,6.7,3.1,4.7,1.5,Iris-versicolor,2
68,6.3,2.3,4.4,1.3,Iris-versicolor,2
69,5.6,3,4.1,1.3,Iris-versicolor,2
70,5.5,2.5,4,1.3,Iris-versicolor,2
71,5.5,2.6,4.4,1.2,Iris-versicolor,2
72,6.1,3,4.6,1.4,Iris-versicolor,2
73,5.8,2.6,4,1.2,Iris-versicolor,2
74,5,2.3,3.3,1,Iris-versicolor,2
75,5.6,2.7,4.2,1.3,Iris-versicolor,2
76,5.7,3,4.2,1.2,Iris-versicolor,2
77,5.7,2.9,4.2,1.3,Iris-versicolor,2
78,6.2,2.9,4.3,1.3,Iris-versicolor,2
79,5.1,2.5,3,1.1,Iris-versicolor,2
80,5.7,2.8,4.1,1.3,Iris-versicolor,2
81,6.5,3.2,5.1,2,Iris-virginica,3
82,6.4,2.7,5.3,1.9,Iris-virginica,3
83,6.8,3,5.5,2.1,Iris-virginica,3
84,5.7,2.5,5,2,Iris-virginica,3
85,5.8,2.8,5.1,2.4,Iris-virginica,3
86,6.4,3.2,5.3,2.3,Iris-virginica,3
87,6.5,3,5.5,1.8,Iris-virginica,3
88,7.7,3.8,6.7,2.2,Iris-virginica,3
89,7.7,2.6,6.9,2.3,Iris-virginica,3
90,6,2.2,5,1.5,Iris-virginica,3
91,6.9,3.2,5.7,2.3,Iris-virginica,3
92,5.6,2.8,4.9,2,Iris-virginica,3
93,7.7,2.8,6.7,2,Iris-virginica,3
94,6.3,2.7,4.9,1.8,Iris-virginica,3
95,6.7,3.3,5.7,2.1,Iris-virginica,3
96,7.2,3.2,6,1.8,Iris-virginica,3
97,6.2,2.8,4.8,1.8,Iris-virginica,3
98,6.1,3,4.9,1.8,Iris-virginica,3
99,6.4,2.8,5.6,2.1,Iris-virginica,3
100,7.2,3,5.8,1.6,Iris-virginica,3
101,7.4,2.8,6.1,1.9,Iris-virginica,3
102,7.9,3.8,6.4,2,Iris-virginica,3
103,6.4,2.8,5.6,2.2,Iris-virginica,3
104,6.3,2.8,5.1,1.5,Iris-virginica,3
105,6.1,2.6,5.6,1.4,Iris-virginica,3
106,7.7,3,6.1,2.3,Iris-virginica,3
107,6.3,3.4,5.6,2.4,Iris-virginica,3
108,6.4,3.1,5.5,1.8,Iris-virginica,3
109,6,3,4.8,1.8,Iris-virginica,3
110,6.9,3.1,5.4,2.1,Iris-virginica,3
111,6.7,3.1,5.6,2.4,Iris-virginica,3
112,6.9,3.1,5.1,2.3,Iris-virginica,3
113,5.8,2.7,5.1,1.9,Iris-virginica,3
114,6.8,3.2,5.9,2.3,Iris-virginica,3
115,6.7,3.3,5.7,2.5,Iris-virginica,3
116,6.7,3,5.2,2.3,Iris-virginica,3
117,6.3,2.5,5,1.9,Iris-virginica,3
118,6.5,3,5.2,2,Iris-virginica,3
119,6.2,3.4,5.4,2.3,Iris-virginica,3
120,5.9,3,5.1,1.8,Iris-virginica,3
121,,3,4.9,1.2,Iris-new_type,4
122,5.2,,5.1,1.8,Iris-new_type,4
123,6.1,3.2,5.1,1.8,Iris-new_type,4